venue,venue_key,status,query,place,admin1,country_code,country,latitude,longitude,timezone,countries_voted,source,note
"7he Sevens Stadium, Dubai",7he sevens stadium dubai,mapped,Dubai,Dubai,Dubai,AE,United Arab Emirates,25.0772,55.3093,Asia/Dubai,IE GB IT TH,open-meteo-geocoding,country not among the archive's votes
"ACA Stadium, Barsapara",aca stadium barsapara,mapped,Guwahati,Guwahati,Assam,IN,India,26.1844,91.7458,Asia/Kolkata,IN,open-meteo-geocoding,"hand-curated: the ground's city, country pinned"
"ACA Stadium,Mangalagiri",aca stadium mangalagiri,mapped,Mangalagiri,Mangalagiri,Andhra Pradesh,IN,India,16.4308,80.5682,Asia/Kolkata,IN,open-meteo-geocoding,
AMI Stadium,ami stadium,mapped,Christchurch,Christchurch,Canterbury,NZ,New Zealand,-43.5333,172.6333,Pacific/Auckland,NZ IN AU PK LK GB BD,open-meteo-geocoding,
"Abhimanyu Cricket Academy, Dehradun",abhimanyu cricket academy dehradun,mapped,Dehradun,Dehradun,Uttarakhand,IN,India,30.3244,78.0339,Asia/Kolkata,IN,open-meteo-geocoding,
Abu Dhabi Oval 1,abu dhabi oval 1,mapped,Abu Dhabi,Abu Dhabi,Abu Dhabi Emirate,AE,United Arab Emirates,24.4512,54.3970,Asia/Dubai,HK IT UG NA US CA,open-meteo-geocoding,country not among the archive's votes
Abu Dhabi Oval 2,abu dhabi oval 2,mapped,Abu Dhabi,Abu Dhabi,Abu Dhabi Emirate,AE,United Arab Emirates,24.4512,54.3970,Asia/Dubai,IE GB AE HK US,open-meteo-geocoding,
"Achimota Senior Secondary School A Field, Accra",achimota senior secondary school a field accra,mapped,Accra,Accra,Greater Accra Region,GH,Ghana,5.5560,-0.1969,Africa/Accra,ZW NA ZA UG TZ NG GH MW KE SC SZ,open-meteo-geocoding,
"Achimota Senior Secondary School B Field, Accra",achimota senior secondary school b field accra,mapped,Accra,Accra,Greater Accra Region,GH,Ghana,5.5560,-0.1969,Africa/Accra,TZ NG GH NA UG SZ KE SC RW MW,open-meteo-geocoding,
Adelaide Oval,adelaide oval,mapped,Adelaide,Adelaide,South Australia,AU,Australia,-34.9287,138.5986,Australia/Adelaide,AU GB IN LK ZA PK NZ JM TT BB GY LC VC AG GD KN DM BD NL IE ZW,open-meteo-geocoding,
